sequence,name,has_inspection,speed,acc,j1,j2,j3,j4,j5,j6
0,,false,0.5,1.2,-2.226,-1.531,-2.216,-0.804,1.608,-0.647
1,,false,0.5,1.2,-2.343,-1.956,-2.08,-0.167,1.221,-2.461
2,,false,0.5,1.2,-2.497,-1.83,-2.399,-0.167,1.221,-1.513
3,,false,0.5,1.2,-2.215,-1.543,-2.587,-0.761,1.623,0.175
4,,false,0.5,1.2,-1.92,-1.422,-2.467,-0.958,2.106,1.161
5,,false,0.5,1.2,-2.153,-1.883,-1.921,-2.519,0.991,0.088
6,,false,0.5,1.2,-1.975,-1.946,-1.77,-2.481,1.05,0.088
7,,false,0.5,1.2,-2.226,-1.531,-2.216,-0.804,1.608,-0.647
