sequence,name,has_inspection,speed,acc,j1,j2,j3,j4,j5,j6
10,,false,0.5,1.2,-1.9,-1.978,-1.63,-0.995,1.6,-0.192
20,,false,0.5,1.2,-2.202,-2.13,-1.858,-0.698,1.647,-1.223
30,,false,0.5,1.2,-2.046,-2.17,-1.638,-0.858,1.157,-1.746
40,,false,0.5,1.2,-2.012,-2.211,-1.581,-0.859,1.158,-1.788
50,,false,0.5,1.2,-2.022,-2.329,-1.36,-0.981,1.232,-2.133
60,,false,0.5,1.2,-2.14,-2.438,-1.298,-1.106,1.658,-2.148
70,,false,0.5,1.2,-1.958,-2.528,-1.052,-1.059,1.613,-3.129
80,,false,0.5,1.2,-1.958,-2.529,-1.053,-1.059,1.613,-3.129
90,,false,0.5,1.2,-2.275,-2.393,-1.224,-1.08,1.631,-2.066
100,,false,0.5,1.2,-1.862,-1.921,-1.606,-1.049,1.525,-0.225
110,,false,0.5,1.2,-1.612,-1.879,-1.798,-0.999,2.108,1.638
120,,false,0.5,1.2,-1.9,-1.978,-1.63,-0.995,1.6,-0.192
